2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/ch/epfl/scala/bloop-config_2.13/1.4.0-RC1/bloop-config_2.13-1.4.0-RC1-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/org/eclipse/xtend/org.eclipse.xtend.lib/2.18.0/org.eclipse.xtend.lib-2.18.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/ammonite_2.13.2/2.2.0/ammonite_2.13.2-2.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/ammonite-interp_2.13.2/2.2.0/ammonite-interp_2.13.2-2.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/thesamet/scalapb/scalapb-runtime_2.13/0.10.3/scalapb-runtime_2.13-0.10.3-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/org/javassist/javassist/3.21.0-GA/javassist-3.21.0-GA-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-scalajslib-api_2.13/0.8.0/mill-scalajslib-api_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-scalajslib_2.13/0.8.0/mill-scalajslib_2.13-0.8.0.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-contrib-bloop_2.13/0.8.0/mill-contrib-bloop_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-main_2.13/0.8.0/mill-main_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/io/get-coursier/coursier_2.13/2.0.0-RC6-15/coursier_2.13-2.0.0-RC6-15-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/ammonite_2.13.2/2.2.0/ammonite_2.13.2-2.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/ch/epfl/scala/bloop-config_2.13/1.4.0-RC1/bloop-config_2.13-1.4.0-RC1.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/ch/epfl/scala/bloop-config_2.13/1.4.0-RC1/bloop-config_2.13-1.4.0-RC1-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/thesamet/scalapb/lenses_2.13/0.10.3/lenses_2.13-0.10.3-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-contrib-bloop_2.13/0.8.0/mill-contrib-bloop_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/org/eclipse/lsp4j/org.eclipse.lsp4j.jsonrpc/0.8.1/org.eclipse.lsp4j.jsonrpc-0.8.1-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-scalajslib-api_2.13/0.8.0/mill-scalajslib-api_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-scalanativelib-api/0.8.0/mill-scalanativelib-api-0.8.0.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/thesamet/scalapb/scalapb-runtime_2.13/0.10.3/scalapb-runtime_2.13-0.10.3-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/org/scalameta/trees_2.13/4.3.20/trees_2.13-4.3.20-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/org/eclipse/lsp4j/org.eclipse.lsp4j.jsonrpc/0.8.1/org.eclipse.lsp4j.jsonrpc-0.8.1-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/org/scala-sbt/ipcsocket/ipcsocket/1.0.0/ipcsocket-1.0.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/io/get-coursier/coursier_2.13/2.0.0-RC6-15/coursier_2.13-2.0.0-RC6-15-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/ammonite-runtime_2.13.2/2.2.0/ammonite-runtime_2.13.2-2.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/org/scala-sbt/ipcsocket/ipcsocket/1.0.0/ipcsocket-1.0.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/ujson_2.13/1.2.0/ujson_2.13-1.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/thesamet/scalapb/lenses_2.13/0.10.3/lenses_2.13-0.10.3-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/ammonite-interp-api_2.13.2/2.2.0/ammonite-interp-api_2.13.2-2.2.0-sources.jar[0m
